year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,0.068195174,0.052566479,-0.015628695,-0.034930963,0.057828411,0.092759373,-0.04028407,-0.028958235,0.011325835
2001,2,0.171634335,0.085149737,-0.086484598,-0.080739324,-0.034865028,0.045874296,0.138471594,0.06751991,-0.070951684
2001,3,-0.018906491,0.052443731,0.071350222,-0.012216689,0.017115909,0.029332598,0.116307556,0.020513817,-0.095793739
2001,4,0.126171055,0.076150008,-0.050021047,0.067538393,-0.031924615,-0.099463007,-0.135213251,-0.05597074,0.079242511
2001,5,-0.033371903,-0.059243484,-0.025871581,-0.023392629,-0.080992714,-0.057600084,-0.016007397,-0.023604668,-0.007597272
2001,6,0.069373953,0.039412582,-0.029961371,-0.090871661,-0.029401329,0.061470332,-0.002830955,0.09493619,0.097767145
2001,7,0.017941005,0.087006373,0.069065368,0.09928845,0.02149452,-0.077793929,0.055309622,0.059835953,0.004526331
2001,8,-0.035385985,0.064610777,0.099996762,0.057863811,0.084318381,0.02645457,-0.028689883,0.029112986,0.057802869
2001,9,0.050225645,-0.04478351,-0.095009156,0.182671267,0.086446077,-0.096225189,0.162376093,0.093229512,-0.069146581
2001,10,0.103025668,0.064018213,-0.039007455,0.125098189,0.098698574,-0.026399615,0.00421063,0.044013517,0.039802887
2001,11,-0.000539264,0.01121177,0.011751034,-0.05906363,-0.067729711,-0.008666081,0.127523651,0.028317517,-0.099206134
2001,12,-0.027300711,-0.030790115,-0.003489404,-0.074209334,-0.073212484,0.000996851,-0.009970785,0.079074213,0.089044998
2002,1,-0.144015471,-0.045533692,0.098481779,-0.113652937,-0.030964019,0.082688917,-0.005660689,0.046892216,0.052552905
2002,2,-0.086670942,-0.017873372,0.06879757,-0.044293687,0.012059954,0.056353641,-0.045364962,-0.014761606,0.030603357
2002,3,-0.057583042,-0.017844511,0.039738531,0.12896989,0.047955413,-0.081014477,0.045854654,0.054588953,0.008734299
2002,4,0.15832608,0.072570215,-0.085755865,-0.054248633,-0.084637984,-0.030389352,0.032914865,-0.063001586,-0.095916451
2002,5,0.067170878,0.017912022,-0.049258856,-0.061962863,-0.058726272,0.003236591,0.084812023,0.052773563,-0.032038459
2002,6,-0.089120548,-0.083478265,0.005642283,0.069440541,0.012982537,-0.056458004,0.086472861,0.08679485,0.000321989
2002,7,-0.004186124,-0.008771564,-0.00458544,-0.03394636,-0.023681808,0.010264552,0.043376555,0.013264725,-0.030111829
2002,8,-0.125637422,-0.061279351,0.064358071,0.013233547,-0.017098414,-0.030331961,-0.074579138,-0.093668508,-0.01908937
2002,9,-0.063791188,-0.095919275,-0.032128087,-0.019456116,0.079705088,0.099161203,-0.034060809,-0.08646541,-0.052404601
2002,10,-0.03642331,0.033020595,0.069443905,0.018470279,-0.003364047,-0.021834326,0.095154532,0.095331745,0.000177214
2002,11,0.010337376,-0.012830235,-0.02316761,-0.023778997,-0.098084864,-0.074305867,0.086308662,0.036618436,-0.049690226
2002,12,-0.028120625,-0.045342357,-0.017221732,-0.131861695,-0.076450526,0.055411169,0.028201024,-0.065493725,-0.09369475
2003,1,0.051851791,0.01518041,-0.036671381,0.040526368,0.085072411,0.044546043,-0.148251932,-0.090613852,0.05763808
