year,month,LSew,Longew,shortew,LSvw,Longvw,shortvw,LSpw,Longpw,shortpw
2001,1,-0.103971621,-0.097062908,0.006908713,-0.042701122,-0.047412158,-0.004711036,0.090026363,0.04090768,-0.049118683
2001,2,-0.098650147,-0.020807912,0.077842235,-0.151678608,-0.091187828,0.06049078,0.022451555,0.070326812,0.047875257
2001,3,-0.029084182,-0.01651863,0.012565553,0.04801202,0.078055364,0.030043344,0.077493491,0.070049012,-0.007444479
2001,4,0.008273638,0.079948342,0.071674703,0.12228851,0.080231429,-0.042057082,0.042749216,-0.034188952,-0.076938168
2001,5,-0.052620308,-0.050956609,0.001663699,-0.024706444,-0.053269548,-0.028563105,-0.128363906,-0.095495187,0.03286872
2001,6,-0.115791207,-0.083854023,0.031937185,0.011064837,-0.062318317,-0.073383154,-0.039145231,-0.053978069,-0.014832838
2001,7,0.153234003,0.092396006,-0.060837997,-0.106936541,-0.033322158,0.073614383,-0.040365713,0.006156258,0.046521971
2001,8,0.018755268,0.097298017,0.078542749,0.01661218,0.073052466,0.056440286,0.062778453,0.099834457,0.037056004
2001,9,0.160891759,0.071187455,-0.089704304,-0.100333844,-0.024775487,0.075558357,0.122181274,0.052467153,-0.069714121
2001,10,-0.048847025,-0.065093723,-0.016246698,-0.109353701,-0.096869388,0.012484313,0.01830281,0.01164412,-0.00665869
2001,11,0.046768904,0.02290028,-0.023868624,0.117711284,0.020522094,-0.097189189,-0.012550904,0.03531626,0.047867164
2001,12,0.10178664,0.046041922,-0.055744718,-0.035214943,-0.027866001,0.007348943,0.09030742,0.039099813,-0.051207607
2002,1,-0.080318825,-0.019375362,0.060943462,0.104733835,0.029382906,-0.075350929,-0.170929482,-0.08308769,0.087841792
2002,2,-0.184926845,-0.089506823,0.095420022,0.133008052,0.057734195,-0.075273857,0.045045447,-0.044464585,-0.089510031
2002,3,0.072256511,0.051562188,-0.020694323,0.051744521,0.04184381,-0.009900711,-0.090941878,-0.081535197,0.009406681
2002,4,-0.094266467,-0.0240262,0.070240266,-0.116085136,-0.095919777,0.020165359,-0.123481263,-0.034491339,0.088989924
